City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
633,Segou,ML,79.68,overcast clouds,13.4317,-6.2157,Comme chez soi
642,Mutis,CO,76.39,moderate rain,6.2262,-77.4044,Paraiso Escondido
645,Ewa Beach,US,84.15,broken clouds,21.3156,-158.0072,Uncle Junior Robert
646,Dakar,SN,82.53,few clouds,14.6937,-17.4441,Redface Studios Meublés
657,Kalmunai,LK,79.63,overcast clouds,7.4167,81.8167,VS Villa
660,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
661,Libreville,GA,80.62,light rain,0.3925,9.4537,Hotel Re-Ndama
663,Anito,PH,80.69,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
664,Kidal,ML,85.48,clear sky,18.4411,1.4078,
665,Vasai,IN,82.49,broken clouds,19.47,72.8,Go Firne
666,Miri,MY,79.0,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
667,Bundaberg,AU,80.89,clear sky,-24.85,152.35,Takalvan Motel
668,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
670,Yulara,AU,80.44,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
673,Port Augusta,AU,75.34,clear sky,-32.5,137.7667,Majestic Oasis Apartments
