City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Torbay,CA,2021-10-12 17:35:35,47.6666,-52.7314,48.58,91,90,18.41
120,Padang,ID,2021-10-12 17:40:22,-0.9492,100.3543,77.11,79,100,3.8
121,Talara,PE,2021-10-12 17:40:23,-4.5772,-81.2719,75.96,64,0,17.27
122,Orumiyeh,IR,2021-10-12 17:40:23,37.5527,45.0761,53.15,66,75,0.0
123,La Asuncion,VE,2021-10-12 17:40:23,11.0333,-63.8628,85.32,70,14,3.71
124,Portland,US,2021-10-12 17:35:42,45.5234,-122.6762,49.08,88,90,1.01
125,Alice,US,2021-10-12 17:39:31,27.7523,-98.0697,91.13,60,75,18.41
126,Cabo San Lucas,MX,2021-10-12 17:37:23,22.8909,-109.9124,86.5,87,75,9.22
127,Touros,BR,2021-10-12 17:40:24,-5.1989,-35.4608,86.9,59,25,15.84
128,Khoy,IR,2021-10-12 17:40:24,38.5504,44.9535,62.73,33,96,2.26
129,Winneba,GH,2021-10-12 17:40:24,5.3511,-0.6231,82.87,87,31,11.48
130,Waipawa,NZ,2021-10-12 17:40:25,-41.4122,175.5153,41.63,72,96,18.32
131,Konevo,RU,2021-10-12 17:40:25,62.1215,39.3192,42.15,80,90,8.05
132,Lasa,IT,2021-10-12 17:40:25,46.6166,10.7002,49.08,95,97,5.61
133,Agadir,MA,2021-10-12 17:40:26,30.4202,-9.5982,73.85,73,1,8.21
134,College,US,2021-10-12 17:40:26,64.8569,-147.8028,30.9,84,75,3.44
135,Mar Del Plata,AR,2021-10-12 17:40:26,-38.0023,-57.5575,64.99,58,75,1.01
136,Ishigaki,JP,2021-10-12 17:40:27,24.3448,124.1572,80.42,89,89,29.95
137,Jhansi,IN,2021-10-12 17:40:27,25.4333,78.5833,80.29,44,2,1.52
138,Katsuura,JP,2021-10-12 17:40:27,35.1333,140.3,68.02,90,100,18.86
139,Esperance,AU,2021-10-12 17:40:28,-33.8667,121.9,53.44,71,100,22.7
140,Marrakesh,MA,2021-10-12 17:40:28,31.6315,-8.0083,78.87,50,6,9.22
141,Hofn,IS,2021-10-12 17:40:28,64.2539,-15.2082,41.0,87,100,10.96
142,Gimli,CA,2021-10-12 17:40:29,50.6336,-96.9907,52.05,71,85,8.05
143,Port Elizabeth,ZA,2021-10-12 17:40:29,-33.918,25.5701,62.89,94,40,3.44
144,Ewa Beach,US,2021-10-12 17:40:29,21.3156,-158.0072,78.75,77,40,11.99
145,Vostok,RU,2021-10-12 17:40:29,46.4856,135.8833,34.41,68,0,4.27
146,Bintulu,MY,2021-10-12 17:40:30,3.1667,113.0333,79.21,100,20,0.0
147,Longyearbyen,SJ,2021-10-12 17:40:30,78.2186,15.6401,28.24,80,75,8.05
148,Hunchun,CN,2021-10-12 17:40:30,42.8675,130.3581,45.05,80,0,1.92
149,Karasburg,NA,2021-10-12 17:40:31,-28.0167,18.75,80.55,15,50,16.31
150,Kahului,US,2021-10-12 17:40:31,20.8947,-156.47,79.84,87,1,17.27
151,Frankfort,ZA,2021-10-12 17:38:33,-27.2667,28.4833,67.96,30,7,7.25
152,Sitka,US,2021-10-12 17:40:32,57.0531,-135.33,46.29,76,90,12.66
153,Pattaya,TH,2021-10-12 17:40:32,12.9333,100.8833,85.17,82,98,17.31
154,Buala,SB,2021-10-12 17:40:32,-8.145,159.5921,79.29,80,92,1.88
155,Sistranda,NO,2021-10-12 17:40:32,63.7256,8.834,44.91,68,100,20.2
156,Tongren,CN,2021-10-12 17:40:33,27.7172,109.1853,61.92,68,47,6.71
157,Nioro,GM,2021-10-12 17:40:33,13.35,-15.75,88.2,63,74,2.95
158,Runcu,RO,2021-10-12 17:40:34,45.1167,23.1333,48.54,91,100,3.06
159,East London,ZA,2021-10-12 17:40:34,-33.0153,27.9116,65.34,88,75,4.61
160,Bahia Blanca,AR,2021-10-12 17:40:34,-38.7196,-62.2724,79.36,30,42,5.32
161,Mendi,PG,2021-10-12 17:40:34,-6.1761,143.6513,53.55,96,88,3.8
162,Sindor,RU,2021-10-12 17:40:35,62.8629,51.8905,39.81,86,97,6.8
163,Los Lunas,US,2021-10-12 17:40:35,34.8062,-106.7334,58.66,34,64,21.65
164,Bilibino,RU,2021-10-12 17:40:35,68.0546,166.4372,-9.51,97,6,4.21
165,Tulun,RU,2021-10-12 17:40:36,54.5611,100.5792,28.38,97,100,3.24
166,Shingu,JP,2021-10-12 17:40:36,33.7333,135.9833,72.34,93,92,5.19
167,Igrim,RU,2021-10-12 17:40:36,63.1906,64.4162,33.85,98,100,5.17
168,Anloga,GH,2021-10-12 17:40:37,5.7947,0.8973,82.62,82,21,10.63
169,Cherskiy,RU,2021-10-12 17:40:37,68.75,161.3,-4.74,100,36,3.13
170,Punta Alta,AR,2021-10-12 17:40:37,-38.8759,-62.0736,74.12,45,36,8.95
171,Geri,CY,2021-10-12 17:40:38,35.1,33.4167,77.02,69,20,9.22
172,Kisangani,CD,2021-10-12 17:40:38,0.5167,25.2,68.04,99,98,0.85
173,Ribeira Grande,PT,2021-10-12 17:40:38,38.5167,-28.7,73.8,64,20,9.22
174,Hasaki,JP,2021-10-12 17:40:39,35.7333,140.8333,66.6,86,100,20.98
175,Wattegama,LK,2021-10-12 17:40:39,6.7989,81.4808,77.45,74,98,3.89
176,Taizhou,CN,2021-10-12 17:40:39,32.4933,119.9106,65.89,76,79,11.25
177,Sol-Iletsk,RU,2021-10-12 17:40:40,51.1631,54.9918,48.09,54,91,6.85
178,Beloha,MG,2021-10-12 17:40:40,-25.1667,45.05,66.6,75,0,15.5
179,Gold Coast,AU,2021-10-12 17:38:57,-28.0,153.4333,66.99,96,75,3.0
180,Zaragoza,ES,2021-10-12 17:40:35,41.6561,-0.8773,72.05,32,0,5.01
181,Ayr,GB,2021-10-12 17:40:40,55.4627,-4.6339,58.5,88,75,8.05
182,Chokurdakh,RU,2021-10-12 17:40:41,70.6333,147.9167,16.25,92,100,8.61
183,Upernavik,GL,2021-10-12 17:40:41,72.7868,-56.1549,34.36,99,100,17.09
184,Povenets,RU,2021-10-12 17:40:41,62.8487,34.8262,43.88,73,61,10.13
185,Arak,IR,2021-10-12 17:38:42,34.0917,49.6892,55.85,24,6,2.62
186,Robertsport,LR,2021-10-12 17:40:42,6.7533,-11.3686,80.46,79,95,9.33
187,Linxi,CN,2021-10-12 17:40:42,39.7,118.4333,51.33,63,20,2.59
188,Nome,US,2021-10-12 17:40:43,64.5011,-165.4064,35.67,81,90,10.36
189,Cidreira,BR,2021-10-12 17:40:43,-30.1811,-50.2056,69.31,83,25,20.04
190,Muravlenko,RU,2021-10-12 17:40:43,63.7898,74.523,28.49,66,99,11.86
191,Honiara,SB,2021-10-12 17:40:44,-9.4333,159.95,76.84,87,90,2.95
192,Kutum,SD,2021-10-12 17:40:44,14.2,24.6667,84.78,35,74,8.86
193,Qaanaaq,GL,2021-10-12 17:40:44,77.484,-69.3632,27.12,95,97,5.75
194,Codrington,AU,2021-10-12 17:40:45,-38.2667,141.9667,54.79,70,64,16.2
195,Eureka,US,2021-10-12 17:35:53,40.8021,-124.1637,53.64,70,20,1.99
196,Ilebo,CD,2021-10-12 17:40:45,-4.3167,20.5833,74.79,88,86,4.38
197,Bonavista,CA,2021-10-12 17:40:45,48.6499,-53.1147,49.12,95,100,23.58
198,Barrow,US,2021-10-12 17:40:46,71.2906,-156.7887,30.22,86,90,20.71
199,Jumla,NP,2021-10-12 17:40:46,29.2747,82.1838,54.48,84,74,3.42
200,Yaan,NG,2021-10-12 17:40:46,7.3833,8.5667,79.97,80,99,5.86
201,Arroio Dos Ratos,BR,2021-10-12 17:40:47,-30.0772,-51.7292,83.08,57,21,3.53
202,Puerto Ayora,EC,2021-10-12 17:40:47,-0.7393,-90.3518,78.76,85,68,5.99
203,Gat,IL,2021-10-12 17:40:47,31.61,34.7642,82.4,58,80,7.76
